Customers with highest no. of transactions,,,,Customers bringing maximum revenue,,,,Part numbers with maximum revenue,,,,Part numbers with maximum margin,,
Row Labels,Count of custname,,,Row Labels,Sum of revenue,,,Row Labels,Sum of revenue,,,Row Labels,Sum of margin,
EVERHARD PRODUCTS INC,1,,,TEXTRON FINANCE SHARED,917.85,,,768133000,12943.35,,,739521100,6034.26,
GEORGIA TECH,1,,,THERMAL CERAMICS,917.85,,,779988139,12938.64,,,754874005,6029.55,
FRIC & FRAC,1,,,M CUBED TECHNOLOGIES INC,917.85,,,735602116,12740,,,734822000,6007.36,
GERARD DANIEL WORLDWIDE,1,,,DUMORE ENTERPRISES LTD,912,,,793250074,12704,,,795551000,6006.92,
J. T. THORPE,1,,,GAF,910,,,733742000,12678,,,754465000,6005.89,
"GEROME TECHNOLOGIES, INC",1,,,CORNING GLASS WORKS,910,,,777650000,12298.9,,,793408000,6000.62,
KICZAN MANUFACTURING INC.,1,,,SOUTHERN RESEARCH INSTITU,909,,,784180000,12257.54,,,768132200,5933.82,
GERRESHEIMER GLASS INC.,1,,,"ELECTRIC MOTION CO.,INC",906.3,,,768132200,12228,,,754445000,5929.2,
FOUR STATES GASKET & RUBB,1,,,PRIME MACHINE,906,,,754127000,12216.36,,,755107000,5899.99,
EDLON PRODUCTS INC.,1,,,THERMO-TEK LTD.,905,,,779959708,12215.52,,,791104475,5885.13,
"FYFE CP., LLC",1,,,ROBBIE HOLLAND WELDING,894,,,766121008,12160,,,764345053,5875.18,
EXOTIC METAL FORMING,1,,,BORG WARNER,892.8,,,764862600,12144,,,733867100,5871.14,
"GARRECO, INC.",1,,,C T TAKAHASHI CO.,892.8,,,734151100,12002.47,,,764787101,5855.98,
EFFICIENT MACHINE PRODUCT,1,,,METALSTAMP INC.,884.5,,,779957176,11815.2,,,740103000,5838.32,
"JM SUPPLY, INC.",1,,,FMI,882,,,779956216,11773.92,,,758422000,5822.83,
GLASTON AMERICA INC.,1,,,PPG INDUSTRIES,881,,,777710073,11758.83,,,764785000,5800.82,
GENERAL TOOL & SUPPLY,1,,,JOHNSON MATTHEY GPT,878,,,727063018,11715,,,758461000,5752.41,
DUNCAN BOLT,1,,,COLUMBIA MANUFACTURING IN,877,,,779988283,11700,,,779989329,5739.97,
FLORIDA TURBINE TECHNOLOG,1,,,PERFORMANCE FRICTION,876,,,779951023,11676.6,,,777780074,5720.74,
GLIDEWELL DENTAL,1,,,IPSEN CERAMICS DIV,876,,,777905412,11605.88,,,754077000,5700.47,
"IGH INTERNATIONAL, CORP.",1,,,MHD - ROCKLAND INC.,870,,,770460000,11534,,,792760000,5664.69,
GMS SHEETMETAL DIVISON,1,,,THOMPSON ENAMEL,865,,,768780000,11509.76,,,742645000,5653.92,
INDUSTRIAL SUPPLIES CO.,1,,,THIBADO INC.,863.87,,,768241100,11460,,,766122006,5627.05,
"ELECTRIC MOTION CO.,INC",1,,,HPI INC,850.5,,,733521350,11437.69,,,764762200,5621.92,
FRYE & ROWE,1,,,PETRO-CHEM DEVELOPMENT,833,,,732670000,11329.9,,,766121008,5596.45,
EYE THINK INC.,1,,,KTEC EQUIPMENT & SUPPLIES,832.4,,,740382150,11234.52,,,737651010,5575.84,
ECOLOG INTERNATIONAL FZE,1,,,CABOT CORP,826,,,733741000,11218.4,,,770202000,5568.51,
GOVERNMENT SCIENTIFIC,1,,,MATRIX INDUSTRIAL,824.88,,,764824000,11146.8,,,724281900,5567.03,
INTERNATIONAL TURBING SYS,1,,,STANDARD FORGED PRODUCTS,819.84,,,771120000,11124.6,,,768131000,5566.48,
F & B MFG LLC,1,,,SANDVIK HEATING,819.84,,,727031000,11100,,,761051000,5526.98,
J & M AIRCRAFT,1,,,IRON CITY PIPE & SUPPLY,818,,,771002000,11071.4,,,734142001,5522.02,
GRAVER TECHNOLOGIES,1,,,UNIVERSAL DYNAMICS INC.,816,,,764905200,10950,,,753965000,5513.72,
JAMES AVERY CRAFTSMAN INC,1,,,FSPA,814.4,,,764481220,10950,,,740283550,5497.42,
DOT/FAA TECHNICAL CENTER,1,,,M & L MECHANICAL,808.72,,,764484000,10935,,,764563000,5482.49,
JOHNSON MATTHEY GPT,1,,,JUN KANEKO STUDIOS,808.72,,,754866000,10910.4,,,780280000,5331.25,
GRAYMONT MATERIAL NY INC.,1,,,COMPOSITE USA,808.46,,,733221010,10901.9,,,764902010,5318.48,
"K.R. ANDERSON, INC.",1,,,AVIATION PRODUCTS INTL EK,800,,,791104475,10850,,,748602000,5316.23,
F.L. SMIDTH INC.,1,,,CORE PIPE,786,,,754285000,10842.04,,,734464300,5278.97,
KENNETH INDUSTRIAL,1,,,"AFTECH, LLC.",785.84,,,754077000,10839,,,733171900,5250.76,
ELECTRO CHEMICAL ENGR MFG,1,,,UNITED MATERIALS INT'L,780,,,734950000,10749.7,,,777750074,5235.72,
HYDRA-FAB,1,,,"MESTEK, FORREST CITY",776,,,771102000,10708.7,,,780310000,5204.45,
GREEN BOILER TECH.,1,,,UNIVERSITY OF ALABAMA,770.4,,,764822020,10624,,,779980245,5180.73,
FMS LOGISTICS MANAGEMENT,1,,,COLORADO STATE UNIVERSITY,767,,,779959551,10623,,,764905200,5166.91,
GREEN GLOBAL ENERGY,1,,,FRC SUPPORT EQUIPMENT,758.36,,,764787102,10612.8,,,735602010,5130.17,
"ENVIRONMENTAL SERVICES,",1,,,THE R B BIRGE CO,752.5,,,779081000,10607.05,,,741061000,5090.09,
FAIR RITE PRODUCTS CORP,1,,,WICKS AIRCRAFT SUPPLY,752.5,,,766122110,10574.4,,,733882000,5088.7,
ERICO INTERNATIONAL CORP.,1,,,"OWENS CORNING MEXICO,",752.5,,,733182390,10532.18,,,779959916,5058.68,
GREENING ASSOCIATES INC,1,,,CAST ALUMINUM SOLUTIONS,752.5,,,724121400,10462,,,779980915,5058.36,
FRANK MURKEN PRODUCTS INC,1,,,BIRK MANUFACTURING,752.5,,,779957232,10447.5,,,779959412,5031.37,
FAIRMONT SUPPLY,1,,,CHRISTY CATALYTICS LLC,751.18,,,737261000,10437.06,,,779956856,5002.2,
ERIKS MIDWEST INC.,1,,,LPI TECHNICAL SERVICE,748,,,733566400,10410,,,779981050,4974.09,
GRIFFIN WHEEL CO,1,,,J.W. DUBOIS & SONS,728.5,,,779988136,10392.32,,,766750050,4961.84,
EBERBACH CORP,1,,,GRAYMONT MATERIAL NY INC.,724,,,764706200,10386.24,,,768031000,4953.69,
FAIRMONT SUPPLY CO.,1,,,P.R. INTERNATIONAL INC.,720,,,784000000,10366.64,,,779952109,4934.46,
EBNER FURNACES INC,1,,,THE TRANE CO,717.5,,,737015102,10350,,,780230000,4918.44,
FALEK LATINA C.I.S.A.,1,,,PRECISION FITTING & GAUGE,715.2,,,766121612,10332,,,724121700,4903.61,
INSUL-FAB,1,,,KIEWIT POWER CONSTRUCTORS,714.88,,,737032000,10325.7,,,739951051,4901.56,
FASTENAL,1,,,BULLSEYE INDUSTRIAL,712.5,,,727000070,10254,,,777587000,4898.2,
INTELLIFUSE TECH.,1,,,"LOTUS ENGINEERING, INC.",706,,,754877000,10244.2,,,764490000,4867.83,
H.C. STARCK INC.,1,,,RENO REFRACTORIES INC.,703.5,,,764524010,10240,,,777992000,4830.12,
INTERNATIONAL RE-ENFORCED,1,,,ALBERTUS ENGINEERING INC.,700,,,770940000,10213,,,795900000,4816.34,
H.E.I.,1,,,NUTEC BICKLEY SA DE CV,691.29,,,764820500,10084.8,,,764827501,4810.39,
IPR/GDF SUEZ N.A.,1,,,RAMPART SUPPLY,690,,,779956856,10005.12,,,764524010,4789.11,
ELECTROCHEMICAL SYSTEMS,1,,,ATLAS FLUID,685.44,,,779988169,9868.8,,,780240000,4766.66,
GB & G DIE GASKET CO.INC.,1,,,NATIONAL ELECTRIC,683,,,766750050,9856,,,779988283,4749.16,
FAURECIA EXHAUST MEXICANA,1,,,HYPER TECH RESEARCH,681.8,,,779986490,9834.05,,,779958170,4726.16,
GE GLOBAL RESEARCH,1,,,KICZAN MANUFACTURING INC.,680.6,,,766046000,9828,,,727031000,4678.24,
FAUST ELECTRIC MOTOR,1,,,BRI SPECIALTY PRODUCTS,680,,,779980915,9801,,,779956840,4677.11,
J.W. DUBOIS & SONS,1,,,HILLBOTTOM ENTERPRISES,678,,,758422000,9797.78,,,768121012,4660,
HALCO,1,,,ST GEORGE STEEL CO,677.52,,,733882000,9773.6,,,795763000,4656.12,
JEANNETTE SPECIALTY GLASS,1,,,KAISER CONSTRUCTION,676.8,,,779980284,9745.5,,,732695000,4652.84,
FDP VIRGINIA INC.,1,,,PAC,670.32,,,764785000,9744,,,764787102,4648.86,
GENERAL ELECTRIC CO,1,,,INTELLIFUSE TECH.,667.2,,,738601000,9738.72,,,768112000,4641.17,
HANES SUPPLY,1,,,TASE/HB-MEDTEK,667,,,779988929,9728.68,,,779986490,4622.52,
JONATHAN ELLIS,1,,,BATTELLE FOR THE US DOE,666.72,,,766681100,9656.5,,,784000000,4599.32,
HANSON BRICK PLANT 4,1,,,TWIN COMMANDER AIRCRAFT,666,,,728030000,9644.4,,,779958167,4595.88,
JUN KANEKO STUDIOS,1,,,STULLER SETTINGS INC.,666,,,724101200,9628,,,777580000,4585.55,
FEATHERLITE INC.,1,,,"LONE STAR INDUCTION, INC",666,,,768031000,9570,,,732620000,4583.13,
KAMAN INDUSTRIAL TECHNOLO,1,,,MIKRO SYSTEMS INC.,666,,,779959412,9540,,,766162051,4581.73,
FEDERAL MOGUL CORPORATION,1,,,EMS LLC,666,,,779989329,9408,,,779041000,4556.28,
GENESYS,1,,,PRESSCUT INDUSTRIES,664,,,741101000,9364.78,,,737032000,4520.96,
HARCO MANUFACTURING,1,,,"LIMCO AIREPAIR, INC.",664,,,777652674,9360,,,768222550,4512.67,
KERDEA TECHNOLOGIES INC.,1,,,ELECTROCHEMICAL SYSTEMS,655.2,,,779956498,9360,,,779980291,4471.61,
ELECTRO-FERRO CENTROL SAC,1,,,HARRIS,653,,,777691862,9332.7,,,779989336,4451.56,
HUTCHINSON SEAL DE,1,,,FRANK MURKEN PRODUCTS INC,648,,,759661000,9292.74,,,767990000,4447.3,
HARRIS,1,,,TINKER OMEGA,647.82,,,768222550,9278.1,,,793450174,4423.05,
HYPER TECH RESEARCH,1,,,DELPHI CORPORATION,636.25,,,764526810,9249.6,,,764526020,4419.96,
HARRIS COMPANIES,1,,,REVERE COPPER PRODUCTS IN,635.4,,,780230000,9195.1,,,768780000,4415.72,
FMI,1,,,MIDWEST SERVICE CENTER,630,,,771404000,9192.75,,,764827502,4404.45,
EMCORE CORPORATION,1,,,ALCOA TECH CENTER,630,,,788200010,9120.06,,,779957701,4402.53,
E. A. PATTEN COMPANY,1,,,CORMETECH INC,630,,,766162300,9100,,,737015102,4400.74,
HARVEST PRODUCTS,1,,,SEISLER MACH & FABRICATIO,626,,,764827501,9093.18,,,767960000,4381.31,
ICO RALLY,1,,,LONE STAR GASKET,626,,,734142001,9076.5,,,735650000,4367.03,
FERGUSON ENTERPRISES,1,,,FUJI INDUSTRIES CORP,626,,,791106668,9061.92,,,770262000,4356.57,
"IDG USA, LLC",1,,,D. W. MACK CO,626,,,768540000,9055.2,,,779988972,4356.5,
DOUGLAS MACHINES CORP.,1,,,FAIRMONT SUPPLY CO.,621.2,,,793336074,9033,,,733403230,4254.86,
IN VITRO,1,,,GREAT LAKES CHEESE,621,,,766121070,8969.29,,,727032005,4245.68,
FIAS USA INC,1,,,SANDELIUS INSTRUMENTS INC,612,,,768530000,8962.2,,,754866000,4245.42,
FOSECO JAPAN LTD.,1,,,POOLESVILLE LAWN EQUIP.,611,,,764902010,8952,,,792650000,4232.32,
HEAT & SENSOR,1,,,BRAZEE STREET STUDIO,611,,,768511000,8940,,,739380000,4225.63,
FOURNIER RUBBER & SUPPLY,1,,,BOSTON ATLANTIC CORP.,601.92,,,764563000,8928,,,733610680,4224.8,
HEAT SHIELD INC.,1,,,"RSG AERODESIGN, LLC",601,,,780280000,8829.6,,,764901061,4214.43,
FRAS-LE NORTH AMERICA INC,1,,,GENERAL TOOL & SUPPLY,600.16,,,754864010,8820,,,766046000,4209.07,
HEAT TREATING SERVICES,1,,,"AVIS INDUSTRIES, INC.",600,,,779959406,8808.8,,,779951023,4180.67,
FRAS-LE S/A,1,,,ADVANCED CLIMATE TECH,597,,,779957053,8800,,,771000000,4151.1,
HEAVY EQUIPMENT MACHINERY,1,,,WILLIAM BONNELL CO. INC.,596,,,754445000,8793.8,,,724401500,4131.47,
FRENOSA SOCIEDAD ANONIMA,1,,,STACK-ON PRODUCTS COMPANY,591.5,,,777992000,8732.16,,,781590000,4129.73,
FIBER GLASS INDUSTRIES,1,,,MESTEK INC.,587.52,,,777750076,8697.6,,,732429300,4122.61,
INFINIA,1,,,LAYNE HEAVY CIVIL,584,,,780310000,8617.12,,,792764000,4106.7,
EMPIRE INSUL. SPECIALTIES,1,,,"PATS AIRCRAFT, LLC",584,,,771170000,8582.85,,,777750076,4065.6,
FRIEDMAN ELECTRIC SUPPLY,1,,,MAYNARD INC.,583,,,764261610,8578.98,,,766081013,4054.08,
HERAEUS CO,1,,,UNIVERSITY ILLINOIS,582.4,,,780240000,8562.04,,,733545810,4052.63,
FSPA,1,,,SOLBERG MFG,582.26,,,777694062,8559.36,,,733484700,4051.06,
HERAEUS ELECTRO - NITE CO,1,,,QUADRA INDUSTRIAL,580,,,733542005,8558.86,,,754665000,4051.03,
FUJI INDUSTRIES CORP,1,,,PACIFIC INDUSTRIAL,579.6,,,777690162,8506.16,,,768242821,4039.6,
"HERAEUS NOBELIGHT, LLC",1,,,CONSOLIDATED METAL PRODUC,579.6,,,766162051,8437.5,,,792783000,4037.59,
G.W. LISK CO,1,,,MUNNELL & SHERRILL. INC,573,,,779980081,8406,,,779958793,4025.25,
"HERAEUS NOBLELIGHT, LLC",1,,,ONQUEST INC.,568.25,,,764827502,8364.33,,,764902021,4016.96,
INSULFAB PLASTICS INC,1,,,SCHOTT FORMA VITRUM DE,564.48,,,779957701,8352,,,793560000,4010.67,
EMS LLC,1,,,ACCURIDE CAMDEN,564.48,,,754465000,8334.52,,,764903000,4010.14,
INTEGRAL PRODUCTS,1,,,BAY INSULATION,558.59,,,779956842,8304.12,,,779980760,4003.3,
EAGLE INSULATION,1,,,USDA FOREST SERVICE,556.48,,,755107000,8304.08,,,766541110,4002.76,
GALA INDUSTRIES INC.,1,,,FOUR STATES GASKET & RUBB,556.48,,,792760000,8288.64,,,732662000,3946.02,
DXP ENTERPRISES,1,,,NOELLE INDUSTRIES,553.2,,,779989420,8280,,,754047000,3944.2,
"INTERNATIONAL PAINT, INC.",1,,,NOV WILSON,552.75,,,768131000,8279.85,,,779988929,3942.48,
FIRST STATE MANUFACTURING,1,,,STEEL CASE INC.,552.72,,,779952109,8224.5,,,733182380,3904.2,
DUMORE ENTERPRISES LTD,1,,,TOBIASON STUDIO,552.72,,,766541110,8208,,,749906600,3902.29,
FISHER SCIENTIFIC CO,1,,,LORD CORP,552.72,,,766081013,8160,,,779981057,3895.28,
ECR INTERNATIONAL INC.,1,,,"HERAEUS NOBLELIGHT, LLC",552.72,,,764907010,8142.5,,,766121612,3894.1,
HIBBING INTERNATIONAL,1,,,FAIR RITE PRODUCTS CORP,537.5,,,764264058,8140,,,789180000,3892.11,
IPSEN CERAMICS DIV,1,,,MUSTANG GROUP,536.16,,,764902021,8125.26,,,733572900,3871.59,
HICKORY INDUSTRIES,1,,,KOSHII MAXELUM AMERICA,534,,,742641500,8120,,,764526810,3863.34,
EUROFINS SCIENTIFIC,1,,,SOUTHLANDS ENGINEERING,533,,,768121012,8112,,,727031300,3849.07,
FLAME CONTROL COATINGS,1,,,S.C. DEPT OF AGRICULTURE,531.9,,,764862400,8064,,,777650000,3819.44,
GE ENERGY CERAMIC,1,,,SELECTRODE INDUSTRIES,531.2,,,779988960,8060,,,784200000,3798.58,
HILLBOTTOM ENTERPRISES,1,,,PARSONS,531.2,,,784200000,8035.2,,,764862400,3797.55,
J D SUPPLY,1,,,UNIVERSITY OF ALBERTA,523,,,793320000,8030,,,764951900,3792.08,
HIMED,1,,,SDK LABORATORIES,520.8,,,777652362,7994.08,,,774901000,3765.56,
J&J TRUCK EQUIPMENT CO.,1,,,LONGHORN GASKET & SUPPLY,520,,,764340523,7978.5,,,767540000,3758.45,
HISCO - MEXICALI,1,,,BASF,520,,,754665000,7965.72,,,779980750,3737.3,
GEMCAST,1,,,ACCEL-RF CORPORATION,520,,,764901011,7938.75,,,779956599,3721.57,
DOW CHEMICAL COMPANY,1,,,ADVSEAL,518,,,754826000,7916.88,,,726000247,3716.49,
JACKSONVILLE ELECTRIC .,1,,,UNIVERSITY OF FLORIDA,508,,,724281900,7910,,,791003400,3695.71,
HI-TECH ENTERPRISES,1,,,SOUTHWEST RESEARCH INST.,503,,,767960000,7858.67,,,764261610,3657.79,
EVANS / EVCO,1,,,"K.R. ANDERSON, INC.",502.25,,,733182010,7825.29,,,793336074,3645,
FLAREGAS CORP.,1,,,BOVARD STUDIO INC.,501.76,,,764528510,7800,,,761071000,3630.6,
JIMCO CORPORATION,1,,,DETECTOR TECHNOLOGY,501.76,,,777690262,7766.72,,,754097000,3601.44,
HOLLOWICK,1,,,"MESTEK, INC.",500,,,777888895,7740,,,768133500,3600.59,
JOEL BERMAN GLASS STUDIOS,1,,,KYOCERA INDUSTRIAL,492.5,,,734351204,7668,,,733011000,3599.64,
E TIP INC.,1,,,THE OHIO STATE UNIVERSITY,489,,,764951900,7660.8,,,780670000,3595.64,
JOHNSON MATTHEY,1,,,OHIO STATE UNIVERSITY,489,,,754874005,7643.28,,,764901011,3578.42,
"HOMEFIRES, AQR, INC.",1,,,EDLON PRODUCTS INC.,486.92,,,777905401,7533.4,,,770601000,3564.82,
EDEN PARK ILLUMINATION,1,,,CASSO SOLAR,486.92,,,764643100,7505.57,,,779988243,3560.69,
HONEYWELL,1,,,RG SMITH CO. INC,482.04,,,777888892,7497,,,793320000,3548.6,
JONESBORO WINAIR CO #247,1,,,FRIC & FRAC,482.04,,,733182400,7489.8,,,737261000,3522.03,
DSSI,1,,,CHEVRON,481.7,,,777730021,7482,,,766123050,3499.54,
J-THERM LLC,1,,,SMT INTERNATIONAL LLC,479,,,764526020,7408,,,779221000,3479.19,
HONEYWELL INC           ',1,,,ABSORPTION CORP.,476,,,734822000,7390.9,,,768126014,3472.91,
"K&L REFRACTORIES, INC.",1,,,ONEX REFRACTORIES,472.8,,,779988813,7380,,,720455000,3468.18,
HORIZON METALS,1,,,SUNDANCE DIE CUT LLC,472,,,740103000,7361.76,,,734040000,3424.36,
KAISER CONSTRUCTION,1,,,GE ENERGY CERAMIC,472,,,779957925,7337.2,,,732630000,3424.24,
HPI INC,1,,,ANCHOR ACQUISTION LLC,471,,,768126014,7334.8,,,780630000,3396,
GENERAL JACKSON SHOWBOAT,1,,,D & M HYDRAULIC,471,,,779440100,7310.94,,,779952300,3384.32,
"HSS, LLC",1,,,TRIDENT FLUID POWER,464.16,,,779952300,7296.12,,,795210000,3379.76,
KEN MAXWELL,1,,,DSSI,463.32,,,779980760,7224,,,764528510,3366.76,
HUDSON STUDIOS,1,,,OE-CAL,462,,,761071000,7213.66,,,754826000,3360.92,
KENNETH CROSBY,1,,,JBC TECHNOLOGIES INC.,462,,,739521100,7192.08,,,759651000,3355.36,
FLIGHT ENVIRONMENTS,1,,,"IDG USA, LLC",460.69,,,785890000,7189.11,,,791104480,3342.7,
GENEX TURBINE TECHNOLOGIE,1,,,JOHNSON MATTHEY,460.35,,,779959916,7184.16,,,735602116,3329.64,
HUGHES CIRCUITS INC.,1,,,PRECISION TOOLS SERVICE,460,,,764303200,7176,,,764481220,3326.32,
KEYSTONE TOOL & DIE,1,,,KAMAN INDUSTRIAL TECHNOLO,460,,,733464900,7109.4,,,768133400,3312.25,
ENVIRACARBON,1,,,A. R. THOMSON LTD.,460,,,770202000,7087.5,,,742723400,3287.21,
EVIE AULT,1,,,SHOALS RUBBER & GASKET CO,456,,,789180000,7075.52,,,793580000,3211.17,
FLORIDA PURCHASING AGENCY,1,,,E TIP INC.,456,,,767990000,7052.38,,,771152000,3186.88,
CORVID TECHNOLOGIES,1,,,"IGH INTERNATIONAL, CORP.",452.5,,,784100000,7042.68,,,779959403,3181.16,
"ABLE AEROSPACE, INC.",1,,,DERRINGER NEY,450,,,779958168,7000,,,779957232,3175.77,
ACCURIDE CAMDEN,1,,,COASTAL IGNITION &,450,,,754047000,6973.92,,,766686000,3175.7,
BIRK MANUFACTURING,1,,,NATIONAL GYPSUM CO,447,,,737915000,6918.75,,,754287000,3171.15,
COLUMBUS RUBBER & GASKET,1,,,GE GLOBAL RESEARCH,447,,,758461000,6882.12,,,733423720,3162.99,
BLACKSTONE-NEY ULTRASONIC,1,,,MONTAGUE STUDIOS,444.24,,,792650000,6867,,,792610000,3159.41,
ATLANTIC CASTING,1,,,PHYTOTECHNOLOGY LABORATOR,441.6,,,793450174,6832.64,,,784100000,3149.62,
APCO SERVICES,1,,,WESCO DISTRIBUTION INC,440,,,770870000,6800,,,779957700,3148.14,
CHANDLER ENGINEERING,1,,,KENNETH CROSBY,440,,,764490000,6775.13,,,766121070,3141.01,
ADVSEAL,1,,,H.C. STARCK INC.,440,,,742645000,6756,,,795762000,3128.02,
BARON BLAKESLEE SFC,1,,,CORNING INCORPORATED,437.08,,,779980750,6744,,,754647000,3119.12,
BLICKMAN INC.,1,,,MCAULY MFG. INC.,432.8,,,779957700,6733.8,,,777903000,3116.49,
ALYSSA OXLEY,1,,,BOEING AEROSPACE COMPANY,432,,,740283550,6712.2,,,755087000,3104.46,
BLOOM ENERGY CORPORATION,1,,,ENVIRACARBON,431.6,,,733182380,6706.05,,,764907010,3092.87,
CROWN ENGINEERING CORP,1,,,SANDIA NATIONAL LABS,431.5,,,724121700,6695,,,779957621,3090.21,
BLOUNT BOATS INC.,1,,,ST. GOBAIN  CONTAINERS,431.5,,,793560000,6660,,,764783000,3061.84,
DCO ENERGY,1,,,TREIBACHER SCHLEIFMITTEL,430,,,768133500,6625.6,,,779956498,3044.94,
ATLANTIC COAST FIRE EQ.,1,,,PLASTICOMP,430,,,779956945,6612,,,770244000,3041.71,
DIELECTRIC SOLUTIONS LLC,1,,,MAGNEQUENCH INTERNATIONAL,430,,,795763000,6606.6,,,741620310,3032.97,
BLUE RIDGE HOME,1,,,EBERBACH CORP,430,,,733171900,6510,,,733490600,3029.97,
CHEF MART RESTAURANT,1,,,HOLLOWICK,430,,,779981050,6500.16,,,734010000,3028.64,
ATLAS FLUID,1,,,CLINTON POTTERY,430,,,733586505,6480,,,770270000,3010.25,
CIMINI & ASSOCIATES,1,,,AMERICAN DESIGN &,430,,,780630000,6478.52,,,777905412,3003.74,
AERO TUBE TECHNOLOGIES,1,,,SMT,428.48,,,771132000,6438.85,,,782060000,2989.83,
CODY SALES & SERVICE,1,,,WENDT CORPORATION,428.48,,,733545810,6435,,,777750073,2979.68,
BODY COTE,1,,,INTERNATIONAL CRYSTAL LAB,428.48,,,779986562,6411,,,734810000,2979.29,
ADVANCED CLIMATE TECH,1,,,R K METALS LLC,428.4,,,732695000,6378.56,,,779988813,2966.22,
"ATLAS HOSE & GASKET CO.,",1,,,BLUE RIDGE HOME,424.96,,,792783000,6377.9,,,779986562,2957.83,
CORMETECH INC,1,,,UNIV. of  NORTH DAKOTA,424,,,781590000,6360.34,,,779956888,2947.14,
BOEING,1,,,FAUST ELECTRIC MOTOR,424,,,733831000,6300,,,738381000,2941.3,
CRC INDUSTRIES,1,,,AMERET LLC,424,,,792764000,6255.6,,,774661000,2937.38,
BOEING AEROSPACE COMPANY,1,,,CERALINK INC.,422.56,,,738501000,6251.9,,,732650000,2936.94,
CYCLOTHERM OF WATERTOWN,1,,,GREEN GLOBAL ENERGY,421.12,,,764561200,6235,,,733505700,2933.67,
ACME SPECIALTIES INC,1,,,PASQUALE DINUZZO LLC,421,,,733610680,6137.85,,,765702000,2933.22,
"AMERICAN FOAM CAST, INC.",1,,,FEDERAL MOGUL CORPORATION,411.84,,,768112000,6115.4,,,741640310,2926.87,
ATS CAROLINA INC,1,,,J D SUPPLY,410.4,,,748602000,6109,,,777730600,2917.8,
DEKA RESEARCH,1,,,TWIN CC SUPPLY,409.92,,,779958865,6093,,,779958512,2914.52,
"AFTECH, LLC.",1,,,SOLDAR DE CHIHUAHUA S.A.,409.92,,,779958793,6090,,,764561200,2908.07,
DERRINGER NEY,1,,,NOTHING INC.,409.92,,,765503112,6072.4,,,779261000,2884.7,
"ATSCOTT MFG COMPANY, INC.",1,,,NORFOLK NAVAL SHIPYARD,408.8,,,779041000,6063.16,,,779989420,2883.14,
DIVERSIFIED CONTROL INC.,1,,,HYDRA-FAB,408,,,754097000,6033.44,,,764303200,2877.16,
ATD ENGINEERING MACHINE,1,,,TERRA INTERNATIONAL,404.36,,,732620000,6008.38,,,779001000,2875.89,
CHASE CORPORATION-GLOBAL,1,,,METALOR ELECTROTECHNICS,404.36,,,764483200,5983.2,,,738601000,2873.41,
BORG WARNER,1,,,JOEL BERMAN GLASS STUDIOS,404.36,,,768133400,5979.2,,,737550400,2863.98,
CHERNE CONTRACTING CORP,1,,,HONEYWELL,404.36,,,767540000,5956.84,,,791104277,2858.94,
BOSTON ATLANTIC CORP.,1,,,CAT-I MFG,404.36,,,734464300,5951.55,,,780720000,2848.28,
ARCELORMITTAL,1,,,NRG/ENERGY,404,,,764903000,5918.85,,,764563100,2845.3,
BOVARD STUDIO INC.,1,,,HEAT SHIELD INC.,404,,,732662000,5911.52,,,770310000,2823.78,
CLAYBURN REFRACTORIES LTD,1,,,DOW CHEMICAL COMPANY,400,,,733490600,5896,,,780330000,2820.75,
APEX DISTRIBUTING,1,,,CHARLES JOHNSTON,396.48,,,779959108,5883.92,,,779980286,2814.96,
ALSTOM POWER INC.,1,,,ADVANCE COOLING,394.88,,,777905415,5871.88,,,766162300,2805.47,
BRADCO SUPPLY INC.,1,,,BLACKSTONE-NEY ULTRASONIC,393.84,,,779957820,5856,,,779956217,2798.82,
ARCHIE BRAY FOUNDATION,1,,,RCG OF NORTH CAROLINA LLC,390,,,735650000,5850,,,770320000,2790.85,
AGROTEK SERVICES INC.,1,,,FLORIDA TURBINE TECHNOLOG,389,,,795900000,5850,,,765503112,2764.1,
ALTAIR TECHNOLOGIES,1,,,EVERHARD PRODUCTS INC,388,,,780670000,5830.35,,,733545700,2762.32,
BRAND ENERGY SERVICES LLC,1,,,BATTELLE,388,,,779957621,5778.72,,,754487000,2754.1,
BATTELLE,1,,,DANNER CORPORATION,388,,,733505700,5718.48,,,793550000,2728.82,
APEX DISTRIBUTING INC,1,,,RAYTEQ LLC,387,,,754647000,5715.36,,,777998700,2725,
ACCELLENT ENDOSCOPY,1,,,U S MARINE CORPS.,386.72,,,764222000,5700,,,739781101,2698.63,
AIR LIQUIDE AT REC,1,,,U S ARTIST SERVICE,386.72,,,779958210,5662.8,,,754317000,2693.5,
ASHLAND ADVANCED,1,,,APPLIED INDUSTRIAL,386.72,,,764783000,5572,,,738071000,2685.78,
BRAYTON ENERGY,1,,,CHEM-CLAY CORPORATION,386.72,,,764781300,5544,,,779957053,2665.32,
ANTHONY INTERNATIONAL,1,,,THE DOW CHEMICAL COMPANY,386,,,766123050,5535,,,779959108,2648.8,
BRAZEE STREET STUDIO,1,,,DEAS CONSTRUCTION,385.6,,,777888890,5508,,,779957925,2646.36,
CREST ULTRASONICS,1,,,"SBJ ENTERPRISES, INC.",384,,,732429300,5490.2,,,777905401,2639.82,
ADVANCE COOLING,1,,,UNIVERSITY OF CONNECTICUT,381.48,,,764601051,5482.5,,,777692662,2626.94,
